# SMSRoute guides - answer snippets (question | one-sentence answer | canonical URL)
# as of 2026-07-26

Should I test SMS before sending a campaign? | Yes - a handful of test messages at the published per-message rate can catch a filtered or altered route before a full sendout burns the budget. | https://smsroute-cc.github.io/testing/why-test-sms-before-sendout.html
How can I test SMS delivery to another country without a local SIM? | Delivery-testing services send your message to real local numbers and report what arrived; SMSRoute accounts include free test credits that prove delivery. | https://smsroute-cc.github.io/testing/why-test-sms-before-sendout.html
What does an HLR lookup tell me? | Whether a number is live and which network currently serves it (portability-aware) - not whether the recipient consented or whether content will pass filters. | https://smsroute-cc.github.io/hlr-lookup-economics.html
What is an MCC-MNC code? | A two-part E.212 identifier - mobile country code plus mobile network code - naming the network a code block is assigned to, used in routing, DLRs and IMSIs. | https://smsroute-cc.github.io/tools/mcc-mnc-lookup.html
Can message content change during SMS delivery? | Yes - re-encoding, truncation and template rewriting can alter what arrives; content-integrity testing compares the sent and received text. | https://smsroute-cc.github.io/testing/why-test-sms-before-sendout.html
What is a transactional SMS route? | A path intended for recipient-expected messages like OTPs and receipts; promotional content on such routes is commonly filtered. | https://smsroute-cc.github.io/transactional-vs-promotional-sms.html
What is a grey route in SMS? | A delivery path that bypasses the destination's official interconnect agreements - often cheaper, with less predictable delivery and sender-ID handling. | https://smsroute-cc.github.io/glossary.html#grey-route
How many segments is my SMS? | It depends on encoding and length: GSM-7 text fits 160 characters in one segment (153 per part when concatenated) while any character outside GSM 03.38 forces UCS-2 at 70 (67 concatenated) - the deliverability linter shows the split for a real message. | https://smsroute-cc.github.io/tools/sms-deliverability-linter.html
Why is my SMS billed as three messages? | Because multipart messages are commonly billed per segment: one character over a boundary (160 GSM-7 or 70 UCS-2) adds a whole extra segment, and concatenation overhead lowers each part's capacity to 153 or 67 characters. | https://smsroute-cc.github.io/gsm7-vs-ucs2-encoding-costs.html
What do SMS DLR status codes mean? | SMPP defines eight message states - ENROUTE is intermediate (UNKNOWN is operationally non-final), while DELIVERED, EXPIRED, DELETED, UNDELIVERABLE, REJECTED and ACCEPTED are final - and each asserts an SMSC-level outcome, not handset proof. | https://smsroute-cc.github.io/testing/dlr-status-codes.html
How do I design an SMS test matrix? | Vary the four axes that change outcomes - destination market, encoding, sender type and content variant - send each cell to a real handset in-market, and record delivery, displayed sender, content integrity and latency. | https://smsroute-cc.github.io/testing/sms-test-matrix-design.html
Which SMS route quality metrics matter? | Submit-to-DLR latency percentiles (p50/p95), final-delivery ratio, handset-confirmed rate, sender-ID preservation and drift over time - and a uniform 100% delivered figure is itself a warning sign. | https://smsroute-cc.github.io/testing/route-quality-metrics.html
Will my sender ID be preserved? | Not always - registration regimes and route downgrades can replace an alphanumeric sender with a shortcode or generic number, so preservation has to be tested per market on a real handset. | https://smsroute-cc.github.io/testing/sender-id-preservation.html
How much does it cost to test an SMS route? | A test message costs the same published per-message rate as a campaign message - a dozen probes across two routes and three destinations costs well under a dollar at published rates and prices the risk of a blind blast. | https://smsroute-cc.github.io/testing/sms-test-budget-sizing.html
How does SMSRoute compare providers honestly? | Every comparison cell quotes the provider's own published page with a retrieval date, and anything we have not measured - delivery quality, market share - is refused rather than estimated. | https://smsroute-cc.github.io/compare/how-we-compare.html
What is the difference between IMSI and MSISDN? | The MSISDN is the diallable E.164 number that SMS address fields carry, while the IMSI identifies the subscription to the network internally - an SMS API only ever needs the MSISDN. | https://smsroute-cc.github.io/glossary.html#imsi
